Nome,Clube,Posição,Preço (C$),Pontos Média,Partidas,CA,DS,FC,DE,DP,FS,GS,SG,A,FF,FD,I,G,CV,V,PP,PS,PC,FT,GC
Gustavo Maia,SPT,Atacante,2.18,1.2,1,,,,,,,,,,,1.0,,,,,,,,,
Lenny Lobato,SPT,Atacante,2.94,1.08,5,,1.0,2.0,,,2.0,,,,3.0,1.0,1.0,,,,,,,,
Fabricio Domínguez,SPT,Meia,4.18,1.18,4,1.0,2.0,2.0,,,5.0,,,,1.0,,,,,,,,,,
Rivera,SPT,Meia,5.1,3.82,5,3.0,15.0,13.0,,,7.0,,,,,,,,,,,,,,
Zé Lucas,SPT,Meia,4.49,1.0,2,,,,,,4.0,,,,,,,,,,,,,,
Renzo,SPT,Zagueiro,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Lucas Cunha,SPT,Zagueiro,4.21,1.9,3,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,
Breno,SPT,Meia,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Micael,SPT,Atacante,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Jair,VAS,Meia,5.51,1.98,4,2.0,6.0,7.0,,,6.0,,,,,,,,,,,,,,
Tchê Tchê,VAS,Meia,5.23,1.17,3,,1.0,,,,4.0,,,,,,,,,,,,,,
Fábio Carille,VAS,Técnico,8.8,5.76,4,,,,,,,,,,,,,,,2.0,,,,,
Arthur Sousa,SPT,Atacante,2.41,0.78,4,,1.0,3.0,,,5.0,,,,,,,,,,,,,,
Souza,VAS,Zagueiro,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Victor Luis,VAS,Lateral,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Paulo Henrique,VAS,Lateral,13.43,11.87,3,1.0,19.0,4.0,,,1.0,,1.0,,1.0,,,,,,,,,1.0,
Felipinho,SPT,Lateral,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Payet,VAS,Meia,8.7,5.23,3,,2.0,2.0,,,5.0,,,2.0,1.0,,,,,,,,,,
Alex Teixeira,VAS,Atacante,3.65,1.37,3,1.0,3.0,2.0,,,,,,,,1.0,,,,,,,,,
David,VAS,Atacante,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Davi,SPT,Goleiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Mauricio Lemos,VAS,Zagueiro,5.43,1.5,1,,1.0,,,,,,,,,,,,,,,,,,
Atencio,SPT,Meia,5.38,2.8,1,,1.0,1.0,,,,,,,2.0,,,,,,,,,,
João Victor,VAS,Zagueiro,6.98,3.5,4,1.0,6.0,1.0,,,3.0,,1.0,,2.0,1.0,,,,,,,,,1.0
Zé Marcos,VIT,Zagueiro,2.75,0.78,5,,2.0,2.0,,,3.0,,,,,,,,,,,,,,
Daniel Fuzato,VAS,Goleiro,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Rayan,VAS,Atacante,5.88,4.07,3,,2.0,2.0,,,2.0,,,,1.0,,,1.0,,,,,,,
Hugo Moura,VAS,Meia,6.19,2.75,4,1.0,9.0,7.0,,,4.0,,,,2.0,,,,,,,,,,1.0
Adson,VAS,Meia,4.14,0.57,3,,,,,,1.0,,,,,1.0,,,,,,,,,
Jean David,VAS,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Sforza,VAS,Meia,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Puma Rodríguez,VAS,Lateral,5.06,2.5,1,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,
GB,VAS,Atacante,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Paulinho Silva,VAS,Lateral,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Mateus Carvalho,VAS,Meia,4.61,1.3,2,,2.0,3.0,,,1.0,,,,,,,,,,,,,,
Loide Augusto,VAS,Atacante,4.72,3.45,2,,3.0,2.0,,,2.0,,,,1.0,1.0,,,,,,,,,
Lucas Oliveira,VAS,Zagueiro,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
JP,VAS,Meia,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Garré,VAS,Atacante,2.91,0.3,3,,1.0,2.0,,,,,,,,,,,,,,,,,
Lucas Freitas,VAS,Zagueiro,5.07,2.47,3,,1.0,2.0,,,3.0,,1.0,,,,,,,,,,,,
Nuno Moreira,VAS,Atacante,8.19,6.35,4,,4.0,2.0,,,8.0,,,1.0,1.0,2.0,2.0,1.0,,,,,,,
Bruno Uvini,VIT,Zagueiro,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Bruno Xavier,VIT,Meia,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Guilherme Estrella,VAS,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Lukas Zuccarello,VAS,Meia,1.67,-0.3,1,,,1.0,,,,,,,,,,,,,,,,,
Jemmes,MIR,Zagueiro,2.76,1.84,5,1.0,7.0,8.0,,,1.0,,,,2.0,,,,,,,,,,
Paulinho,VAS,Meia,7.21,3.2,2,,4.0,2.0,,,2.0,,,,,,,,,,,,,,
Lucas Braga,VIT,Atacante,7.73,8.5,1,,,,,,1.0,,,,,,,1.0,,,,,,,
Carlinhos,VIT,Atacante,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Wellington Rato,VIT,Meia,8.06,4.5,2,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,
Neris,VIT,Zagueiro,4.47,1.1,1,1.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,
Gabriel,VIT,Goleiro,3.66,1.1,1,,,,2.0,,1.0,2.0,,,,,,,,,,,,,
Osvaldo,VIT,Atacante,3.53,0.4,3,,,,,,,,,,,1.0,,,,,,,,,
Claudinho,VIT,Lateral,4.35,1.48,5,1.0,5.0,3.0,,,2.0,,,,1.0,,,,,,,,,,
Ronald Lopes,VIT,Meia,3.35,0.17,3,1.0,1.0,3.0,,,2.0,,,,,,1.0,,,,,,,,
Lucas Halter,VIT,Zagueiro,2.89,1.56,5,1.0,1.0,2.0,,,,,,,,,1.0,1.0,,,,,,,
Ricardo Ryller,VIT,Meia,3.18,1.68,5,1.0,6.0,6.0,,,2.0,,,,,1.0,,,,,,,,,
Gustavo Mosquito,VIT,Atacante,4.88,2.42,4,,1.0,5.0,,,1.0,,,1.0,1.0,3.0,2.0,,,,,,,,
Jamerson,VIT,Lateral,6.21,4.78,5,,9.0,5.0,,,2.0,,,1.0,3.0,3.0,1.0,,,,,,,,
Lucas Arcanjo,VIT,Goleiro,7.97,5.32,4,,,,21.0,,,6.0,,,,,,,,,,,,,
Janderson,VIT,Atacante,3.88,2.08,5,1.0,2.0,8.0,,,2.0,,,,1.0,1.0,2.0,1.0,,,,,,,
Gabriel Xavier,BAH,Zagueiro,5.69,-0.1,1,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
Thiago Carpini,VIT,Técnico,6.4,4.07,5,,,,,,,,,,,,,,,1.0,,,,,
Hugo,VIT,Lateral,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Arrascaeta,FLA,Meia,19.27,12.07,4,,2.0,1.0,,,4.0,,,2.0,2.0,,,4.0,,,,,,,
Baralhas,VIT,Meia,5.86,2.62,4,1.0,6.0,5.0,,,4.0,,,,1.0,1.0,,,,,,,,,
Du Queiroz,SPT,Meia,2.22,0.54,5,,3.0,8.0,,,,,,,2.0,,,,,,,,1.0,,
Pepê,VIT,Meia,5.65,2.53,3,,4.0,3.0,,,5.0,,,,,,,,,,,,,,
Angileri,COR,Lateral,4.72,2.33,3,,4.0,1.0,,,1.0,,,,1.0,,,,,,,,,,
João Silva,SPT,Zagueiro,3.89,2.12,5,1.0,2.0,2.0,,,2.0,,1.0,,1.0,2.0,,,,,,,,,
Vitor Roque,PAL,Atacante,10.61,3.78,5,1.0,8.0,5.0,,,11.0,,,,2.0,2.0,1.0,,,,,,,,
Thiaguinho,VIT,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Edu,VIT,Zagueiro,2.6,0.0,1,,,,,,,,,,,,,,,,,,,,
Zé Vitor,MIR,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Fintelman,VIT,Goleiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Fabrício Daniel,MIR,Atacante,3.57,1.05,4,,,3.0,,,3.0,,,,3.0,1.0,,,,,,,,,
Wesley Natã,FLU,Atacante,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Diego Rosa,INT,Meia,2.85,0.4,3,,1.0,1.0,,,,,,,,,,,,,,,,,
Hulk,CAM,Atacante,14.4,3.2,5,2.0,,3.0,,,12.0,,,,6.0,7.0,3.0,,,,,,,,
Raphael Veiga,PAL,Meia,17.12,4.15,2,,2.0,3.0,,,4.0,,,,1.0,2.0,,,,,,1.0,,,
Oscar,SAO,Meia,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Garro,COR,Meia,23.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Juninho,INT,Zagueiro,3.63,-1.3,1,1.0,,1.0,,,,,,,,,,,,,,,,,
Luiz Filipe,MIR,Atacante,2.24,-0.6,1,,,2.0,,,,,,,,,,,,,,,,,
Neymar,SAN,Meia,19.72,1.55,2,1.0,,2.0,,,7.0,,,,,1.0,,,,,,,,,
Leandro,SAO,Goleiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Jorge Meurer,GRE,Goleiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Guilherme,CEA,Atacante,3.63,4.8,1,,2.0,,,,2.0,,,,1.0,,,,,,,,,,
Willian José,BAH,Atacante,7.79,1.0,3,,,,,,2.0,,,,1.0,1.0,,,,,,,,,
Lucca Prior,FOR,Meia,2.54,4.3,1,,2.0,,,,1.0,,,,1.0,,,,,,,,,,
Maceió,MIR,Atacante,3.58,1.55,4,,1.0,2.0,,,2.0,,,,4.0,1.0,1.0,,,,,,,,
Marcos Felipe,BAH,Goleiro,7.12,4.25,2,,,,5.0,,,3.0,1.0,,,,,,,,,,,,
Adriel,SPT,Meia,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Gilberto,BAH,Lateral,8.18,4.98,5,1.0,7.0,5.0,,,4.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,
Danilo Fernandes,BAH,Goleiro,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Kauan Lindes,BOT,Meia,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Marcelinho,RBB,Meia,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Yago Felipe,MIR,Meia,5.48,2.6,2,,2.0,1.0,,,5.0,,,,,,,,,,,,,,
Santiago Arias,BAH,Lateral,6.38,0.6,2,1.0,,,,,2.0,,,,,1.0,,,,,,,,,
Mastriani,BOT,Atacante,5.49,0.57,3,,,1.0,,,1.0,,,,2.0,,1.0,,,,,,,,
Léo Pereira,VIT,Atacante,3.5,1.43,3,,3.0,4.0,,,2.0,,,,,,,,,,,,,,
Willian Chumbinho,RBB,Meia,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Otávio,CRU,Goleiro,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Athyrson,RBB,Atacante,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Vinícius Lago,RBB,Lateral,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Rezende,BAH,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Giraldo,JUV,Meia,3.07,0.92,4,1.0,3.0,7.0,,,3.0,,,,1.0,,,,,,,,,,
Lucas Ferreira,SAO,Meia,4.76,3.88,5,,10.0,1.0,,,7.0,,,,,1.0,,,,,,,,,
Matheus Alves,SAO,Meia,4.81,3.46,5,3.0,8.0,5.0,,,5.0,,,1.0,3.0,,1.0,,,,,,,,
David Duarte,BAH,Zagueiro,4.97,2.83,3,,3.0,3.0,,,,,1.0,,,,1.0,,,,,,,,
Peixoto,JUV,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Kanu,BAH,Zagueiro,4.58,2.85,2,,4.0,1.0,,,,,,,,,,,,,,,,,
Matheus Bianqui,MIR,Meia,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Felipe Longo,COR,Goleiro,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Wanderson Papaterra,VIT,Meia,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Allanzinho,FOR,Atacante,4.51,2.43,3,1.0,1.0,4.0,,,3.0,,,1.0,2.0,,1.0,,,,,,,,
Iago,BAH,Lateral,5.15,2.53,3,,,1.0,,,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,
Jean Lucas,BAH,Meia,5.91,3.2,4,1.0,6.0,3.0,,,5.0,,,,4.0,,,,,,,,,,
Robert,CAM,Goleiro,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Ademir,BAH,Atacante,4.84,2.26,5,1.0,3.0,5.0,,,13.0,,,,2.0,1.0,,,,,,,,,
Kelvi Gomes,JUV,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Santiago Mingo,BAH,Zagueiro,4.75,2.42,5,,4.0,4.0,,,5.0,,1.0,,,,2.0,,,,,,,,
Erick,BAH,Meia,8.84,4.5,5,2.0,9.0,10.0,,,3.0,,,,2.0,,1.0,1.0,,,,,,1.0,
Benedetti,PAL,Zagueiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Felipinho,JUV,Lateral,2.62,0.75,4,1.0,1.0,9.0,,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,,
Acevedo,BAH,Meia,5.61,3.2,2,,4.0,2.0,,,2.0,,,,,,,,,,,,,,
Dênis Júnior,BAH,Goleiro,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Gabriel Carvalho,INT,Meia,5.57,1.6,2,,1.0,,,,1.0,,,,,1.0,,,,,,,,,
Patrick,CAM,Meia,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Erick Pulga,BAH,Atacante,7.74,5.58,5,,5.0,2.0,,,11.0,,,,8.0,1.0,1.0,1.0,,,,,,,
Michel Araújo,BAH,Meia,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Viery,GRE,Zagueiro,1.53,-0.3,1,,,1.0,,,,,,,,,,,,,,,,,
Luciano Juba,BAH,Lateral,9.2,7.18,5,,5.0,4.0,,,,,1.0,3.0,2.0,,,1.0,,,,,,,
Óscar Romero,INT,Meia,6.28,3.2,3,,1.0,1.0,,,2.0,,,1.0,3.0,,,,,,,,,,
Emerson Galego,JUV,Atacante,2.5,0.0,1,,,,,,,,,,,,,,,,,,,,
Rodrigo Nestor,BAH,Meia,6.43,2.8,3,,4.0,2.0,,,2.0,,,,1.0,1.0,,,,,,,,,
Figueiredo,PAL,Meia,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Kayky,BAH,Atacante,2.21,0.0,2,,,,,,,,,,,,,,,,,,,,
Caio Alexandre,BAH,Meia,5.97,2.77,4,2.0,9.0,9.0,,,3.0,,,,1.0,,,,,,,,,,
Gabriel Souza,JUV,Lateral,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Ryan,BAH,Lateral,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Gustavo Lacerda,MIR,Goleiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Edson Carioca,MIR,Atacante,6.27,4.5,4,1.0,3.0,3.0,,,2.0,,,2.0,4.0,1.0,,,,,,,,,
Garcez,JUV,Atacante,2.3,0.35,2,,,1.0,,,2.0,,,,,,,,,,,,,,
Cauly,BAH,Meia,6.86,2.45,4,,2.0,1.0,,,1.0,,,1.0,2.0,,,,,,,,,,
Palacios,CAM,Atacante,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Vitor Pernambuco,JUV,Atacante,2.83,2.25,2,,1.0,,,,,,,,,,,,,,,,,1.0,
Luca Meirelles,SAN,Atacante,1.53,-0.3,1,,,1.0,,,,,,,,,,,,,,,,,
Wesley Santos,MIR,Lateral,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Ruan Carneiro,JUV,Goleiro,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Zé Guilherme,BAH,Lateral,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Renato Gaúcho,FLU,Técnico,10.2,6.13,4,,,,,,,,,,,,,,,3.0,,,,,
Joshua,FLA,Meia,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Ronaldo,BAH,Goleiro,5.47,3.68,4,,,,9.0,1.0,2.0,4.0,,,,,,,,,,,1.0,,
Matheus Babi,JUV,Atacante,4.5,3.23,3,,1.0,2.0,,,2.0,,,,,,2.0,1.0,,,,,,,
Gui Negão,COR,Atacante,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Gustavo Mancha,FOR,Zagueiro,5.14,5.4,3,,6.0,,,,2.0,,1.0,,,1.0,,,,,,,,,
Murilo Rhikman,CRU,Meia,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
André,GRE,Atacante,2.92,1.5,3,,,,,,1.0,,,,2.0,2.0,,,,,,,,,
Felipe Teresa,FLA,Atacante,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Amuzu,GRE,Atacante,4.66,2.6,4,1.0,1.0,2.0,,,7.0,,,,3.0,4.0,2.0,,,,,,,,
Lelê,CEA,Atacante,3.95,1.3,1,,,,,,1.0,,,,1.0,,,,,,,,,,
Marçal,BOT,Lateral,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Igor Serrote,GRE,Lateral,1.85,0.8,2,1.0,2.0,3.0,,,1.0,,,,,,,,,,,,,,
Gabriel Knesowitsch,MIR,Zagueiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Marcão,JUV,Goleiro,5.54,7.35,2,,,,9.0,,,2.0,1.0,,,,,,,,,,,,
Wallace Davi,FLU,Meia,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Cristian,MIR,Atacante,4.11,3.67,4,1.0,1.0,4.0,,,2.0,,,,2.0,4.0,,1.0,,,,,,,
Alysson,GRE,Atacante,2.76,2.67,3,,2.0,,,,6.0,,,,1.0,1.0,,,,,,,,,
Sérgio Oliveira,SPT,Meia,10.46,7.17,4,1.0,10.0,8.0,,,5.0,,,,3.0,1.0,,1.0,,,,,,1.0,
Léo Jance,FLU,Lateral,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Luis Eduardo,GRE,Zagueiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Gustavo Prado,INT,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Jota,BAH,Meia,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Luiz Gustavo,VAS,Zagueiro,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Davi Schuindt,FLU,Zagueiro,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Thiago Henrique,FLU,Meia,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Giovanny,JUV,Atacante,3.65,2.55,4,,1.0,2.0,,,4.0,,,1.0,3.0,,1.0,,,,,,,,
Tiago,BAH,Atacante,1.7,2.1,1,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,
Jeferson,GRE,Atacante,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Dionísio,VIT,Meia,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
João Victor,CEA,Atacante,0.87,0.0,1,,,,,,,,,,,,,,,,,,,,
Henrique,SAO,Atacante,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
César Sampaio,SAN,Técnico,11.0,7.8,2,,,,,,,,,,,,,,,1.0,,,,,
Bruninho,FOR,Meia,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Luis Otávio,INT,Meia,2.13,3.4,1,,2.0,2.0,,,2.0,,,,,,,,,,,,,,
Zé Rafael,SAN,Meia,8.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Iván Román,CAM,Zagueiro,2.77,2.8,1,,1.0,,,,1.0,,,,1.0,,,,,,,,,,
Salvador,FOR,Goleiro,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
David Kauã,CAM,Meia,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Fábio,VIT,Atacante,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Orlando Ribeiro,COR,Técnico,10.32,6.62,1,,,,,,,,,,,,,,,1.0,,,,,
Maykon,VIT,Lateral,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Leonan,MIR,Zagueiro,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Índio,CAM,Meia,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Ruan Pablo,BAH,Atacante,1.35,1.2,1,,,,,,,,,,,1.0,,,,,,,,,
Lucas Lima,CEA,Meia,3.17,0.25,2,,,,,,1.0,,,,,,,,,,,,,,
Lucca,SAO,Atacante,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Zé Phelipe,CAM,Meia,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Val Soares,VIT,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Fredi Lippert,BAH,Zagueiro,1.5,1.7,1,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
Vitor Hugo,CAM,Zagueiro,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Elias Manoel,BOT,Atacante,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Rafael Guanaes,MIR,Técnico,5.7,4.63,5,,,,,,,,,,,,,,,1.0,,,,,
Dieguinho,COR,Meia,1.35,1.2,1,,1.0,1.0,,,,,,,,,,,,,,,,,
Fabri,VIT,Atacante,5.04,3.33,4,,4.0,5.0,,,2.0,,,1.0,2.0,1.0,,,,,,,,,
Fernando Costa,RBB,Goleiro,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Santiago Rodríguez,BOT,Meia,5.96,2.4,3,,2.0,1.0,,,1.0,,,,2.0,2.0,,,,,,,,,
Kaique Kenji,CRU,Atacante,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Micael,PAL,Zagueiro,4.91,3.24,5,1.0,2.0,6.0,,,2.0,,3.0,,,,,,,,,,,,
Kauã Prates,CRU,Lateral,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Gabriel Caipira,COR,Lateral,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Felipe Vieira,FLA,Zagueiro,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Thiago Maia,INT,Meia,4.3,-0.15,2,,,1.0,,,,,,,,,,,,,,,,,
Palacios,RBB,Zagueiro,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Hyan,SAN,Meia,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Gustavo Cintra,FLU,Zagueiro,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Kaio Borges,FLU,Lateral,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Kauan,VIT,Zagueiro,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Janderson,CRU,Zagueiro,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Fabinho,RBB,Meia,3.01,1.3,3,,1.0,2.0,,,2.0,,,,1.0,1.0,,,,,,,,,
Gustavo Henrique,SAN,Meia,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Felipe Cardoso,VIT,Meia,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Lucas Evangelista,PAL,Meia,7.41,3.15,2,,2.0,3.0,,,6.0,,,,,1.0,,,,,,,,,
