Nome,Clube,Posição,Preço (C$),Pontos Média,Partidas,CA,DS,FC,DE,DP,FS,GS,SG,A,FF,FD,I,G,CV,V,PP,PS,PC,FT,GC
Caio Paulista,CAM,Lateral,7.24,3.57,3,1.0,4.0,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,
Igor Rabello,CAM,Zagueiro,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Natanael,CAM,Lateral,7.97,4.46,5,,8.0,5.0,,,2.0,,2.0,,1.0,,,,,,,,,,
Rubens,CAM,Meia,6.72,4.64,5,,14.0,4.0,,,2.0,,,,3.0,,,,,,,,,,
Fausto Vera,CAM,Meia,8.21,5.1,3,,3.0,2.0,,,2.0,,,,3.0,,,1.0,,,,,,,
Saravia,CAM,Lateral,6.68,4.2,3,,1.0,5.0,,,2.0,,2.0,,2.0,,,,,,,,,,
Deyverson,FOR,Atacante,7.35,4.16,5,1.0,2.0,7.0,,,7.0,,,,5.0,2.0,,1.0,,,,,,1.0,
Gabriel Menino,CAM,Meia,6.31,2.38,5,,1.0,1.0,,,5.0,,,1.0,1.0,2.0,,,,,,,,,
Igor Gomes,CAM,Meia,5.55,2.75,4,,1.0,2.0,,,1.0,,,,2.0,,,1.0,,,,,,,
Rômulo,CAM,Zagueiro,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Júnior Santos,CAM,Atacante,7.98,1.7,2,,,,,,2.0,,,,,2.0,,,,,,,,,
Caio Maia,CAM,Atacante,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Talles Magno,COR,Atacante,7.19,2.35,2,,1.0,5.0,,,8.0,,,,1.0,,1.0,,,,,,,,
João Marcelo,CAM,Atacante,2.29,0.78,4,,,,,,,,,,1.0,2.0,1.0,,,,,,,,
Gregore,BOT,Meia,6.76,2.9,5,2.0,12.0,20.0,,,5.0,,,,1.0,1.0,,,,,,,,,
Marlon Freitas,BOT,Meia,5.24,0.56,5,1.0,2.0,4.0,,,4.0,,,,,,,,,,,,,,
Gabriel Átila,CAM,Goleiro,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Allan,BOT,Meia,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Patrick de Paula,BOT,Meia,4.04,1.72,5,,2.0,3.0,,,5.0,,,,5.0,,,,,,,,,,
Artur,BOT,Atacante,9.71,4.96,5,1.0,5.0,3.0,,,7.0,,,2.0,2.0,1.0,1.0,,,,,,,1.0,
Vitinho,BOT,Lateral,7.89,4.34,5,,8.0,1.0,,,,,2.0,,,,,,,,,,,,
Alisson,CAM,Meia,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Gabriel Delfim,CAM,Goleiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Raul,BOT,Goleiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Danilo Barbosa,BOT,Meia,4.87,-1.3,1,1.0,,1.0,,,,,,,,,,,,,,,,,
Cuiabano,BOT,Lateral,7.89,4.3,5,,2.0,5.0,,,6.0,,2.0,1.0,1.0,1.0,,,,,,,,,
